id;url;votetype;payout;ccy;comment;active;funded;created;expiry;boosted
1;http://aylin.com;POST;95925;XNO;deposit Investment;false;true;2023-02-11T21:43:46;2023-02-11T18:19:52;false
2;http://janelle.info;COMMENT;70268;XNO;Mobility Brook plug-and-play;false;true;2023-02-11T20:56:08;2023-02-11T10:00:57;true
3;https://crystal.org;COMMENT;50634;XNO;Ball Graphical;false;true;2023-02-11T23:33:53;2023-02-11T15:50:25;false
4;https://barbara.name;COMMENT;72763;XNO;Cross-group violet deposit;true;true;2023-02-11T12:31:06;2023-02-11T13:49:53;true
5;http://mckenna.net;POST;81001;XNO;synergy Investor Escudo;true;false;2023-02-12T03:30:11;2023-02-11T21:37:48;true
6;https://icie.name;COMMENT;2004;XNO;capacitor;false;false;2023-02-11T18:05:57;2023-02-12T02:36:17;true
7;http://reid.net;COMMENT;20478;XNO;HTTP Granite;false;false;2023-02-11T21:47:20;2023-02-11T16:37:28;true
8;http://katherine.com;POST;82442;XNO;salmon withdrawal Buckinghamshire;true;true;2023-02-11T12:10:37;2023-02-11T11:46:17;false
9;https://sister.info;POST;22522;XNO;orchid Gourde;true;true;2023-02-11T07:41:49;2023-02-12T01:27:53;false
10;http://deontae.name;POST;69546;XNO;Wyoming;true;false;2023-02-11T23:35:55;2023-02-11T21:36:53;true
